Year,Rank_Asia,School_Name,Overall,Academic Reputation,Employer Reputation ,Faculty Student,Papers per Faculty,Citations per Faculty ,International  Faculty,International Students,Faculty Staff with PhD,International Research Network,Inbound Exchange,Outbound Exchange,total students,international students,Total faculty staff,International Faculty staff,Domestic staff
2022,15,Kyoto University,92.1,100,99.9,99.4,64,70.3,47.9,63.5,96.1,99.7,35.1,6.9,22608,2863,3911,359,3552
2022,16,Yonsei University,91.1,93,99.1,97.4,38.8,73.7,55.7,86.5,98.3,80.2,99.8,83.9,23269,4274,3605,391,3214
2022,17,Sungkyunkwan University (SKKU),91,88.8,92.5,95.5,39.9,93.1,56.5,82.2,100,83,100,99.3,22482,3821,3313,351,2962
2022,18,Seoul National University,90.9,100,99.8,94.6,72.6,78.9,38.8,33,79,96.6,35.3,15.4,26646,1914,3859,298,3561
2022,19,National Taiwan University (NTU),90.8,99.6,98.3,55.4,59.7,76.2,55.5,81.7,89.1,96.1,83.1,90.6,29467,5058,2939,306,2633
2022,20,City University of Hong Kong,89.2,87.5,62.2,97.4,72.6,99.8,100,100,96.6,90.8,100,100,9564,5331,1483,1186,297
2022,21,Tokyo Institute of Technology (Tokyo Tech),88.8,95.3,99,96.5,85.5,42.6,74.7,78,78,89.2,69.4,28.1,9878,1622,1492,209,1283
2022,22,Osaka University,87.6,97.3,96.3,91.9,63.9,37.3,58.3,49.1,84.9,98.7,51.2,72.3,22618,2268,3127,341,2786
2022,23,Tohoku University,87.3,94,93.8,99.9,60.1,39.8,35.7,52.2,92.2,94.9,56.4,99.1,17717,1872,3323,240,3083
2022,24,Hanyang University,86.3,75.9,94,92.5,31.9,82.2,62.7,75.6,90.3,96.3,99.1,99.8,22662,3455,3164,369,2795
2022,25,The Hong Kong Polytechnic University,85.1,91.1,72.9,92,43.5,99.1,100,99.2,3.6,95.6,89.3,75.9,20387,5774,2822,1628,1194
2022,26,Pohang University of Science And Technology (POSTECH),83.6,75,88.2,100,90.7,99.4,81.1,11.2,100,38.5,96.2,98.1,3096,87,743,115,628
2022,27,Universiti Putra Malaysia (UPM),81.4,79,84,88.4,41.2,23.5,93.5,99.6,100,99.4,100,100,16462,5040,2174,433,1741
2022,28,Nagoya University,79.7,87.3,80.1,98.3,56.3,38.8,45.8,59.9,92,92.3,49.3,16.4,15676,1879,2512,222,2290
2022,29,Kyushu University,78.7,85.2,86.6,95.9,53.5,29.4,41.3,57,87.3,92.6,32.4,34.3,18566,2125,2761,224,2537
2022,30,Hokkaido University,78.3,84.2,83.8,92,53,33.7,60,55.1,96,98.2,25,6.5,17887,1984,2476,277,2199
2022,31,University of Science and Technology of China,77.8,82.3,40.5,96.4,94.2,99.4,60.8,24.9,72.6,89.1,32.6,95.4,17922,1019,2708,307,2401
2022,32,Nanjing University,77.3,87.6,46.4,41.5,79.9,98.7,98.4,34,64.3,96.4,97.3,92.4,34148,2513,3040,739,2301
2022,33,Universiti Kebangsaan Malaysia (UKM),76.8,82.6,86,99.1,26.4,9.4,84.7,76,33.6,99.2,84,86,16873,2410,2829,466,2363
2022,34,National Tsing Hua University,76.1,81.1,86,52.2,56.8,71.8,56.5,59.6,93.7,76.3,32,22.5,13001,1551,1265,134,1131
2022,35,Universiti Sains Malaysia (USM),74.6,82.8,88.3,79.8,37.2,16.6,78.7,91.9,47.8,99.7,45.5,6.8,18764,4198,2249,335,1914
2022,36,Chulalongkorn University,72.4,91.6,90.7,49.3,13.4,21.7,26.9,11.4,78.2,95.1,44.8,35.7,34509,985,3354,192,3162
2022,37,Wuhan University,72.3,69.6,77.5,20.6,71.5,81.2,89.9,30.7,77.3,94.4,37.4,93.3,54421,3682,3828,698,3130
2022,38,Universiti Teknologi Malaysia,72.2,67.8,81.8,63.3,64.8,30.9,53.4,96.5,73.5,99.7,83.3,29.3,20354,4956,1869,184,1685
2022,39,Kyung Hee University,71.4,53.1,64.5,95.5,20.7,65.6,40.4,89.7,99.2,96.6,99.9,99.8,23296,4715,3435,274,3161
2022,40,Waseda University,71.3,88.1,99.5,41,12.2,15.9,74.4,81.1,3.3,85.3,58,82.5,43254,7209,3833,534,3299
2022,41,National Cheng Kung University (NCKU),71.2,74.8,87.6,59.1,40.8,39.1,56.4,65.9,85.4,65.4,54.7,63.3,20215,2656,2079,220,1859
2022,42,Indian Institute of Technology Bombay (IITB),71,81.4,96,44.7,84.2,23,11,4.4,100,78.5,14.5,8.3,11097,116,1015,27,988
2022,43,Mahidol University,70.2,72.7,75.8,90.3,11.1,28.6,23.1,21.2,98.6,86.2,98.2,46.3,28477,1415,3850,195,3655
2022,44,Sun Yat-sen University,70,66.2,56.5,78.3,32.9,91.5,21.3,23.1,99.3,97.1,14.7,60.1,58586,3127,7002,331,6671
2022,45,Indian Institute of Technology Delhi (IITD),69.6,76.5,92.4,46.6,89.6,31.3,4.9,4.6,84.1,86.9,2.9,7.8,9064,100,843,10,833
2022,46,Keio University,68,80.5,98.3,79.2,14.9,23.6,35.4,44.8,1,65.9,53.5,28.8,33442,3101,4028,288,3740
2022,47,National Yang Ming Chiao Tung University,66.9,62.1,89.4,69.8,57.2,30,56.1,51.3,78,65.5,37.1,43.9,16834,1475,2112,203,1909
2022,48,Tongji University,63.6,65.2,26.3,38.6,87.5,63.8,99.7,78.5,67.2,90.2,99.7,100,30628,5095,2785,685,2100
2022,49,University of Tsukuba,62.9,65,39.2,84.1,41.1,26.5,49,71.7,88.3,97.1,49.6,73.8,16431,2358,2073,194,1879
2022,50,National Taiwan University of Science and Technology (Taiwan Tech),61,52.1,57.1,72.7,41.4,58.7,74.9,83.7,34.1,63.4,98.5,82.1,8811,1537,1005,141,864
2022,51,Beijing Normal University,60.1,68.8,21.9,40.9,60.2,83.8,40,69.5,97.2,86.4,11.2,35,23688,3288,2098,115,1983
2022,52,Xi¡¦an Jiaotong University,60,48.1,71.7,34.9,84.4,63,15.9,21.8,42.7,93.4,17.2,86.8,44568,2266,3729,199,3530
2022,53,Taylor's University,59,38.1,87,86.2,12.4,42.6,94.9,99.9,1.2,51.6,77.1,99.5,4231,1704,578,120,458
2022,54,Indian Institute of Technology Madras (IITM),58.8,66,77.8,44.4,90.1,18.8,5.7,4.1,100,44.1,21.1,10.7,9688,94,884,12,872
2022,55,Huazhong University of Science and Technology,58.2,44.9,61.7,17.4,80.1,85.4,19.7,19.5,85.2,95.9,15.2,33.7,60253,2796,4014,171,3843
2022,56,Indian Institute of Science,58.1,63.7,42.8,64.8,100,55.7,5.5,1.4,100,61.4,,,4161,5,446,6,440
2022,56,Universitas Indonesia,58.1,74.5,80.6,54.8,10.6,1.1,99.8,13.4,1.4,35.5,98.6,99.8,42416,1412,4210,1166,3044
2022,58,Ewha Womans University,58,47.9,44.3,93.1,12.9,81.4,23.3,64.5,97.8,38.1,76.7,72.7,17273,2105,2436,124,2312
2022,59,Gadjah Mada University,57.3,76.4,74.3,82.5,5.8,1.2,85.5,7.6,1,29.2,81.9,57.1,38089,738,4728,790,3938
2022,60,Indian Institute of Technology Kharagpur (IIT-KGP),56,55.4,68.7,18.8,97.1,35.7,10.7,1.7,100,77.3,1.6,10.1,11889,27,770,20,750
2022,61,National Taiwan Normal University,55.2,61.1,33.9,87.8,13.5,41.8,39.3,73.9,55.8,46.6,91.9,76.8,10468,1499,1374,107,1267
2022,62,Renmin (People's) University of China,54.2,47.7,73,27.8,9.4,90.2,25.3,12.2,92.3,39.2,13.7,51.7,27756,786,2150,117,2033
2022,63,Harbin Institute of Technology,54,49.6,24.5,64.1,94.8,62.9,28.6,31.8,65.7,87.5,15.1,37.9,30139,2102,3215,194,3021
2022,64,Indian Institute of Technology Kanpur (IITK),53.1,58.3,71.2,26.8,94.9,33.5,7.4,2.2,100,29.5,9.8,9.4,7198,29,551,10,541
2022,64,Kobe University,53.1,53.7,62.5,81,27.1,17.8,25.2,36.5,22.4,74.6,37.3,12.6,15563,1216,1986,108,1878
2022,66,Hong Kong Baptist University,53,40.4,33.1,66.2,30.6,97.5,100,100,28,34.2,91.5,93.1,8440,4704,980,367,613
2022,67,Bandung Institute of Technology (ITB),52.5,72,73.9,75.3,17.2,1.2,81.3,11.3,15.2,22.2,3.1,12.5,19120,613,2228,346,1882
2022,68,National Sun Yat-sen University,52.3,51.8,44.1,47.5,57.1,32.3,64.2,45.4,100,44.9,73.2,45.3,7846,757,735,89,646
2022,69,Chung-Ang University (CAU),52.2,35.1,55.4,87.8,16.2,40.4,43.9,76,91.4,27.5,94.8,95.3,20192,3099,2650,226,2424
2022,69,Universiti Brunei Darussalam (UBD),52.2,38.1,30.2,99.6,18.1,23.2,100,96.3,85.8,55,100,100,2686,635,475,266,209
2022,71,Tianjin University,51.8,42.2,12.4,45.3,84.4,79.8,34,36.7,62,82.2,99.9,97.9,27355,3425,3147,218,2929
2022,72,Universiti Teknologi PETRONAS (UTP),51.6,33.9,56.9,39.3,78.1,15.7,99.8,63.8,48.3,80,93.6,79.4,5021,639,438,128,310
2022,73,Xiamen University,51.4,52,21.8,32.3,44,96.9,19.2,15.5,48.1,83.3,89.1,24,38121,1443,3106,135,2971
2022,74,National University of Sciences And Technology (NUST) Islamabad,51.3,39.7,84.9,91.2,18.7,25.6,7.8,20.3,1,68.6,2.4,12.2,11737,563,1608,31,1577
2022,75,Nankai University,51.2,47.7,14.1,46.8,42.1,99.9,49.3,20.7,96.4,81.3,3.3,26.3,30568,1488,2846,268,2578
2022,76,National Taipei University of Technology,50.9,31.3,72.4,45.2,53.1,34.2,67.1,67.1,100,23.4,89.2,67.7,7772,1040,714,89,625
2022,77,Shandong University,50,33.9,49.8,28.4,78.7,63,31.7,15.3,71.4,87.7,34.5,22.9,43644,1637,3406,223,3183
2022,77,UCSI University,50,31.5,71.7,82.2,5.4,60.4,96.7,98.6,1,25.6,82.1,15.1,5954,1597,744,210,534
2022,77,University of Delhi,50,65,63,5.8,57,17.5,3.1,5.2,41.6,85.7,2.5,1.2,25235,322,1171,8,1163
2022,77,University of the Philippines,50,63.3,72.1,64.3,4.2,5.6,4.1,3.2,1,71.3,4.9,3.1,41961,292,4480,43,4437
2022,81,East China Normal University,49.7,33.3,9.8,41.2,32.1,90.8,97.1,66.6,64.6,91.2,100,90.3,27826,3697,2471,508,1963
2022,81,Sejong University,49.7,27,40.9,23.9,33.4,95.5,70.7,61.7,81.3,80,50.3,54.8,12457,1536,919,121,798
2022,83,Hiroshima University,49.2,47.1,30.6,97.5,25.5,22.3,40.2,54.8,42.4,90,12.5,5.8,15220,1680,2366,188,2178
2022,84,Shanghai University,49.1,49.4,22.9,66.7,27.7,51,95.1,25.2,57.4,71.3,23.6,46.9,38213,2195,4156,870,3286
2022,85,University of Chinese Academy of Sciences (UCAS),48.9,48.8,8.5,4.6,100,82.4,76.3,9.2,100,99.8,,,45129,1052,1936,278,1658
