Year,Rank_Asia,School_Name,Overall,Academic Reputation,Employer Reputation ,Faculty Student,Papers per Faculty,Citations per Faculty ,International  Faculty,International Students,Faculty Staff with PhD,International Research Network,Inbound Exchange,Outbound Exchange,total students,international students,Total faculty staff,International Faculty staff,Domestic staff
2022,127,Ritsumeikan University,36.4,30.1,83.5,11.9,9.5,8.8,72.7,35.4,7.7,24.7,20.4,29.4,35419,2697,2095,284,1811
2022,129,Universiti Malaysia Pahang,36.3,26.2,22.2,21.4,40,24,77.7,38.9,96.3,62.1,37.2,52.1,8643,711,615,84,531
2022,130,Tokyo Medical and Dental University (TMDU),36.2,26,15,100,31.1,32.1,8.1,53.6,69.3,33.9,20.4,15.2,3002,325,930,19,911
2022,131,Chiba University,36,36.5,18.6,87.8,28.6,16.5,21.9,23.4,37,47.2,14,4.6,13640,736,1790,87,1703
2022,131,"Lingnan University, Hong Kong",36,19.5,21.8,32.1,26.9,35.2,100,97.7,92.3,18.8,100,100,3375,983,274,166,108
2022,133,Khon Kaen University,35.6,35.3,40.2,10.8,12.5,6.7,29.3,14.8,57.5,61.9,69.7,57,32528,1185,1862,114,1748
2022,134,Chonnam National University,35.5,22.8,12.2,61,22.9,57.6,23.5,35.8,74.8,41.1,46.3,59.3,20946,1609,2342,120,2222
2022,135,Tokyo University of Science,35.2,27.3,61.1,14.5,41.4,16.8,34.3,12.3,82.9,28.4,4.1,2.2,18066,555,1136,79,1057
2022,136,University of Seoul,35.1,27,24,43.1,15.9,42.4,10.5,26.8,83.4,22,86.1,86.1,8718,528,787,20,767
2022,137,COMSATS University Islamabad,35,22.1,40.5,15.8,25.5,58.3,5.1,4.9,1.2,99.7,1.5,,34994,417,2264,28,2236
2022,138,Kasetsart University,34.8,48.8,54.3,7.8,6.3,6.3,26.8,4.2,7.5,46.3,11.1,10.4,67633,671,3489,199,3290
2022,139,Ajou University,34.2,24.5,23.7,85.7,25.2,47.9,20.5,47.9,35,19.3,20.2,13.8,9554,1001,1333,61,1272
2022,140,Hunan University,33.8,18.2,17.9,24.2,47.7,99.8,19.4,13.1,62.1,38.8,11.7,26.7,36502,1191,2702,118,2584
2022,141,Nagasaki University,33.7,17,6.1,95.9,19.5,16.9,23.1,21.4,33.3,71.3,82.8,77.1,8768,439,1303,66,1237
2022,142,Ton Duc Thang University,33.4,16.1,18.7,10.3,12,66.5,96.1,5.7,1,99.9,71.9,40.4,26833,378,1512,348,1164
2022,142,University of Dhaka,33.4,39.6,58.4,18.5,4.5,23.8,3.8,1.4,1,38.2,6.4,2.5,33360,48,2268,20,2248
2022,144,Universiti Tenaga Nasional (UNITEN),33.1,18.7,35,50.5,26.9,10.1,38.6,63.9,2.9,45.1,87.8,97.7,4713,652,469,36,433
2022,145,Tokyo University of Agriculture and Technology,33,28.7,16.3,18.7,91.6,11.4,18.1,25.9,99.6,56.5,9.7,17.1,5686,335,388,16,372
2022,145,University of the Punjab,33,31.4,68.6,5.9,17.7,14.6,9.1,3.1,1.1,52.4,1.7,2.8,26525,180,1340,30,1310
2022,147,Management and Science University,32.9,25.6,41.7,54.4,2.6,2.8,96.9,84.3,1,2.8,98.8,99.9,9196,1621,910,204,706
2022,147,University of Ulsan,32.9,15.6,7.2,80.6,36.9,68.7,9,18.5,62.3,41.4,15.5,19.2,12916,571,1576,35,1541
2022,147,"Vietnam National University, Hanoi",32.9,37.1,29.7,20.1,4.1,21.9,12.8,5.3,1.3,83.2,33.2,22,41803,545,2919,72,2847
2022,150,East China University of Science and Technology,32.8,18.8,7.1,23.2,64.4,87.1,6,8.1,78.3,54.1,15.9,9.1,28007,574,2046,30,2016
2022,150,Jinan University (China),32.8,11.8,5.4,12.8,32,70.6,94.1,99.5,53.3,80.5,24.3,37.3,39846,11950,2413,489,1924
2022,152,Soochow University,32.6,15.7,6.5,24.7,42,99.5,24,11.5,9.9,85.7,9.4,29.9,48549,1403,3618,189,3429
2022,153,Kanazawa University,32.3,20.7,9,79.6,30.7,13.9,34.1,24.1,90.7,56,19.4,7.9,10250,567,1239,86,1153
2022,154,Dalian University of Technology,32.1,21.5,7,19.4,74.3,65,36,10.6,76.8,58,1,2.5,42093,1128,2906,211,2695
